,sepal_length,petal_length,petal_width,sepal_width_2.2,sepal_width_2.7,sepal_width_2.8,sepal_width_2.9,sepal_width_3.0,sepal_width_3.1,sepal_width_3.2,sepal_width_3.5,species
0,5.1,0.020833333333333308,0.2,0,0,0,0,0,0,0,1,Iris-setosa
1,0.0,0.020833333333333308,0.2,0,0,0,0,1,0,0,0,Iris-setosa
2,4.7,0.0,0.2,0,0,0,0,0,0,1,0,Iris-setosa
3,4.6,0.04166666666666666,0.2,0,0,0,0,0,1,0,0,Iris-setosa
4,7.0,0.7083333333333335,1.4,0,0,0,0,0,0,1,0,Iris-versicolor
5,6.4,0.0,1.5,0,0,0,0,0,0,1,0,Iris-versicolor
6,6.9,0.7500000000000001,1.5,0,0,0,0,0,1,0,0,Iris-versicolor
7,6.2,0.6666666666666667,1.5,1,0,0,0,0,0,0,0,Iris-versicolor
8,5.7,0.5833333333333334,1.3,0,0,1,0,0,0,0,0,Iris-versicolor
9,6.3,0.9791666666666667,2.5,0,0,0,0,0,0,0,0,Iris-virginica
10,5.8,0.7916666666666666,1.9,0,1,0,0,0,0,0,0,Iris-virginica
11,7.1,0.9583333333333335,2.1,0,0,0,0,1,0,0,0,Iris-virginica
12,6.3,0.8958333333333334,1.8,0,0,0,1,0,0,0,0,Iris-virginica
13,6.5,0.9375,2.2,0,0,0,0,1,0,0,0,Iris-virginica
14,7.4,1.0,0.0,0,0,1,0,0,0,0,0,Iris-virginica
